M/Z,Intensity
414.12349,52906
414.12784,148693
414.136,47666
414.14037,31160
414.14897,23143
414.19856,25952
414.20983,88694
414.21789,6873
414.23481,25460
414.24603,204817
414.27126,21434
414.28246,13947
415.03289,81146
415.09945,71853
415.10787,36712
415.11216,28868
415.11877,11653
415.12324,72440
415.13131,46953
415.13515,60132
415.14423,47328
415.14822,21592
415.19378,67555
415.21319,6093
415.23027,75170
415.24147,76576
415.24958,31803
415.26663,65005
415.30699,29141
415.84232,5625
416.03643,8674
416.08338,42571
416.09454,17149
416.10271,17088
416.10712,68590
416.11976,93548
416.12818,23118
416.1309,24709
416.13932,35532
416.14352,45253
416.17783,10803
416.18907,28367
416.19719,4774
416.21417,40639
416.22538,124748
416.23349,10804
416.26185,733457
416.29841,471314
417.03971,122936
417.04847,5590250
417.07865,30025
417.10255,43363
417.11513,109320
417.12348,58152
417.12769,63648
417.13879,26890
417.15988,23119
417.18826,20224
417.20949,106039
417.22075,179046
417.24597,624893
417.25708,170081
417.26519,132361
417.28216,79701
417.30156,90082
417.84218,80665
418.05212,1130230
418.11012,34730
418.11842,38969
418.12278,123981
418.13106,18375
418.13547,38980
418.14398,17009
418.17636,25181
418.20479,218881
418.24107,203979
418.24931,113394
418.25226,331336
418.31804,87488
419.04663,372055
419.05273,44268
419.05521,105197
419.0642,42063
419.07296,44699
419.10285,16722
419.10705,17486
419.11824,85633
419.12636,39576
419.13082,60347
419.13931,49778
419.14337,34259
419.18863,112060
419.20798,34822
419.24047,10004
419.24428,58670
419.25588,51095
419.26164,52860
419.32128,13413
420.05025,78087
420.06798,5193
420.08057,18742
420.09357,182194
420.10203,34370
420.12126,13457
420.12574,29095
420.13418,29911
420.13835,75910
420.17094,3724
420.19222,42217
420.20276,61944
420.22049,275831
420.23554,6107
420.2648,4437
420.32254,4846
420.33379,23331
421.08881,173997
421.09697,75066
421.10133,29064
421.10993,13589
421.1185,65567
421.12262,41380
421.13379,67672
421.14198,21407
421.14638,15495
421.15502,27500
421.18672,20303
421.21949,14173
421.2236,56666
421.25613,22325
422.08399,51441
422.09214,59494
422.0966,53565
422.10926,338191
422.11783,65637
422.13492,102711
422.14163,14396
422.15025,25710
422.15421,22202
422.20344,10127
422.21472,17805
422.24011,9854
422.2513,22873
423.05665,723002
423.092,25842
423.10459,341525
423.11275,141012
423.11713,120437
423.12566,28785
423.1342,71331
423.1382,44277
423.14936,36009
423.19883,24619
423.20288,19327
423.21006,15212
423.23535,80557
423.24649,14718
423.30097,7310
423.36992,8051
424.06024,142425
424.09983,111874
424.10795,122135
424.11236,189147
424.12065,52846
424.12488,212458
424.1334,56337
424.16577,9781
424.19407,9026
424.21933,26669
424.23054,61350
424.23928,9139
424.25568,5750
424.26688,22099
425.10313,28754
425.10755,106058
425.11551,58646
425.12004,213287
425.1283,104018
425.13257,109522
425.14972,39915
425.16509,10395
425.21477,718825
425.22579,33121
425.25088,28851
425.25509,28499
425.26211,136678
425.28718,12765
425.31659,88046
425.39665,5830
426.09159,29510
426.11083,24570
426.11521,73253
426.12343,79993
426.12785,165089
426.1361,45858
426.14043,57284
426.14906,31331
426.19864,15226
426.2099,42931
426.21799,136527
426.23486,44806
426.23909,15470
426.24607,102966
426.26546,12867
426.27123,11817
426.28243,9170
426.29376,10753
426.32019,13007
427.07569,18352
427.10796,13641
427.11205,100102
427.11879,13764
427.12317,93622
427.12931,70875
427.13572,70800
427.14424,65255
427.14832,35734
427.18069,6789
427.19384,16973
427.20521,396203
427.23022,61188
427.24135,15435
427.24543,16400
427.24954,8181
427.26658,17214
427.27782,114972
427.30309,38387
427.33235,40429
428.03702,420869
428.10727,133142
428.11546,34582
428.12004,20589
428.12823,20970
428.13075,24963
428.13921,31680
428.14348,64415
428.15182,11145
428.16578,123712
428.17769,7621
428.18908,12239
428.20865,61946
428.21436,31332
428.22571,643206
428.23681,80735
428.2619,189586
428.27306,204740
428.28699,34020
428.36417,4885
428.7543,5765
429.04034,35601
429.07023,13764
429.09144,35485
429.1026,54959
429.11069,43138
429.11511,62422
429.12355,39545
429.12765,109782
429.13872,37570
429.14504,19462
429.15987,33723
429.16911,15356
429.20963,115103
429.22084,52332
429.2291,124579
429.24068,54230
429.246,57215
429.25714,44888
429.26523,28137
429.27642,26566
429.28221,75386
429.29326,12911
429.39175,13652
429.75725,6229
430.08661,16984
430.1104,39131
430.11885,53408
430.12297,147522
430.13112,38066
430.13563,25993
430.13988,13286
430.14406,15900
430.15516,11771
430.19343,20008
430.20481,50864
430.21296,14200
430.23008,45404
430.24132,225465
430.27758,225448
430.28874,124121
430.318,5460
430.38963,6830
430.71896,207691
430.72153,31349
431.08578,97547
431.11825,73842
431.12642,53638
431.13085,70285
431.13935,39740
431.14343,48058
431.17585,8900
431.18867,16460
431.22104,62568
431.22517,64429
431.2364,356621
431.24449,48227
431.27289,791206
431.28087,34520
431.30925,299475
432.08097,85756
432.0891,34301
432.11496,13532
432.12598,44878
432.13457,100894
432.13865,85957
432.1469,10352
432.22046,526095
432.23972,58650
432.25675,904543
432.26796,168191
432.27612,139387
432.31274,55141
432.56919,43965
433.07635,16886
433.08445,22998
433.10148,291438
433.11,27879
433.11848,42949
433.13373,66601
433.13784,12853
433.14199,35225
433.14632,20324
433.15493,21064
433.18349,7721
433.20465,405348
433.22399,277681
433.24093,14108
433.26015,181448
433.27137,16632
433.27701,15444
434.09684,302800
434.10499,118724
434.1094,43754
434.118,45220
434.13503,38708
434.15032,139544
434.15429,28117
434.20778,90604
434.21831,105116
434.2273,43991
434.23619,137969
434.25138,13596
434.25489,37638
434.31297,16013
435.05038,275913
435.0918,103237
435.09992,106681
435.10439,76904
435.11706,349573
435.1257,24778
435.1343,44493
435.13843,24059
435.14964,42922
435.15377,28924
435.20241,227589
435.23523,37474
435.23882,116438
435.27175,133841
436.05387,50662
436.0954,28684
436.09985,43526
436.11239,374132
436.12048,137809
436.12489,88743
436.13342,54492
436.16587,169390
436.19781,65286
436.20584,33987
436.21555,86178
436.21944,16955
436.23072,85628
436.24237,19114
436.26684,18323
436.27508,17782
437.01532,5943
437.10762,142590
437.11578,138085
437.12023,144124
437.12869,76819
437.13287,176293
437.15012,17473
437.16527,13054
437.16939,43126
437.18188,21828
437.19403,16340
437.21462,60210
437.22577,54304
437.25098,45923
438.10451,29293
438.11089,40770
438.11538,80082
438.12359,57183
438.12794,203387
438.13612,72584
438.14081,119870
438.14905,28948
438.18156,51287
438.19857,11198
438.20295,8992
438.20985,19408
438.22111,16450
438.23513,19945
438.24613,37107
438.28226,10952
438.28672,38509
438.40616,11222
438.52324,2555
438.68382,19072
438.71648,113729
438.71917,10786
439.022,73426
439.03089,1547177
439.09947,47524
439.10789,20010
439.11238,12155
439.11877,18930
439.12327,95795
439.13127,73327
439.13587,85030
439.14438,87580
439.14848,48180
439.19387,9053
439.2051,6757
439.21866,30117
439.23022,92731
439.24138,44873
439.26645,26345
439.27782,22346
440.03407,300745
440.08359,40270
440.09482,10043
440.10305,10810
440.10749,44863
440.12017,85749
440.12668,22694
440.13107,41798
440.13943,42963
440.14373,74240
440.14781,8254
440.152,20414
440.16482,6741
440.18895,6226
440.20219,23352
440.21413,33217
440.22544,86203
440.23678,235249
440.2507,18648
440.26203,85567
440.27333,70216
440.29831,4547
440.30265,5813
440.41053,22012
440.67252,2722
441.01466,527454
441.02897,94905
441.0788,30125
441.10254,24236
441.1151,110015
441.12345,51464
441.12779,51405
441.13885,43997
441.14508,34254
441.15137,14078
441.16005,44561
441.18652,11303
441.20966,38764
441.22093,83023
441.24022,36704
441.24592,58899
441.25709,80502
441.28218,21092
441.29336,31843
441.31163,7025
441.31887,52838
442.01818,111830
442.03241,18056
442.07788,31870
442.09913,20632
442.11021,37036
442.11853,41874
442.12294,111721
442.13131,18387
442.13574,54065
442.14429,15108
442.15539,18962
442.15942,10062
442.19359,13575
442.20472,23945
442.22983,41823
442.24109,122564
442.25229,124479
442.27761,176938
442.28883,54384
442.30308,5034
442.3141,6275
442.31838,9418
442.32249,5612
443.01285,232657
443.07327,20245
443.09452,15661
443.10138,10623
443.11837,80172
443.12645,36556
443.13095,78927
443.13937,56331
443.14353,40258
443.15457,13142
443.17566,14913
443.22516,33733
443.23351,76358
443.23648,155521
443.24477,15764
443.25596,11508
443.2619,44844
443.27301,72068
443.28124,30533
443.29827,36132
444.01607,41817
444.0319,123870
444.09388,149232
444.10235,18042
444.12152,14226
444.12601,33745
444.13429,35065
444.13857,92059
444.14683,11432
444.1709,7070
444.20923,19134
444.22054,108256
444.23996,22260
444.2458,59913
444.25698,129671
444.29326,126400
444.30443,856606
445.03902,45773
445.08895,140267
445.09706,60410
445.10139,13423
445.12265,24723
445.13369,69828
445.14182,26174
445.14633,25949
445.15494,43420
445.1834,15680
445.20467,21242
445.24099,70839
445.25216,130101
445.26334,159193
445.27719,18506
445.28836,272810
445.30784,156019
446.04239,8435
446.08417,43868
446.09224,49544
446.09666,30791
446.10921,308293
446.11772,49775
446.14163,19256
446.15015,19401
446.15429,36520
446.19987,10192
446.23611,272666
446.2473,138030
446.27247,763098
446.29189,47102
447.10446,324241
447.11267,136207
447.1171,99904
447.13437,20804
447.13852,28257
447.14968,46935
447.171,22178
447.2313,121597
447.2394,59475
447.26763,103199
447.27583,159898
448.09976,116442
448.10791,126223
448.11238,159311
448.12056,46851
448.12501,248510
448.12958,53127
448.1336,52635
448.1507,531002
448.21536,141238
448.23046,48649
448.25175,51437
448.27131,15140
449.1031,35190
449.10766,97371
449.11577,57880
449.12031,277223
449.1286,129703
449.13298,133857
449.15058,20729
449.15417,149586
449.1654,19713
449.21454,29393
449.25084,12297
449.25503,57821
450.01933,20579
450.11089,25516
450.11545,101740
450.12364,110548
450.12811,190896
450.1364,60218
450.1408,106421
450.14533,83147
450.14925,34712
450.16638,88552
450.20771,130788
450.21329,234974
450.23096,41667
450.24617,296807
450.24966,51881
450.28277,107214
451.11217,68577
451.11869,28440
451.1233,114706
451.13134,71348
451.13597,113303
451.14444,88411
451.14867,79123
451.16994,21923
451.1976,213051
451.23028,94186
451.2344,333394
451.24127,32872
451.24946,60725
451.2527,34385
451.26657,135898
451.30727,46805
452.10727,102405
452.11561,26905
452.1203,11131
452.12635,30359
452.13091,48761
452.1393,54794
452.1436,89316
452.15205,29505
452.15639,16927
452.16094,57333
452.16494,9901
452.18217,10480
452.20091,26675
452.21863,229504
452.22559,145385
452.2372,103288
452.25068,42066
452.26178,57180
452.27001,19324
453.09139,39962
453.1025,42254
453.11057,29445
453.1151,45940
453.12365,34037
453.12768,108938
453.13876,58097
453.14489,51896
453.15139,21981
453.15999,52005
453.16413,15295
453.16797,26486
453.20984,83584
453.22204,56141
453.22907,27441
453.24607,56192
453.25039,21789
453.25692,44170
453.26835,10614
453.28221,16586
453.29329,21474
453.31134,9151
453.31867,6314
454.08678,29556
454.1105,29156
454.12312,160675
454.13135,42568
454.13592,27918
454.14449,15622
454.15516,27604
454.15927,17094
454.17643,20282
454.20432,16224
454.21815,24150
454.23003,21434
454.24127,89673
454.25253,43136
454.26652,17621
454.27772,72121
454.40121,4782
454.99623,56474
455.00479,1713676
455.08597,78162
455.11837,77984
455.12646,55651
455.13098,78649
455.13946,56106
455.14357,61673
455.15458,13886
455.1757,19938
455.18852,14275
455.2019,22512
455.22512,70825
455.23637,40256
455.2404,89309
455.26177,60554
455.27297,50361
455.29829,31405
455.30939,17832
456.00833,331723
456.08104,69173
456.08921,27246
456.12142,14212
456.12604,50176
456.13433,36371
456.13875,110065
456.14708,23419
456.15157,8688
456.16035,8574
456.17131,15377
456.20929,21571
456.22048,55690
456.23175,47601
456.24571,17609
456.25681,129964
456.26802,79826
456.29334,169738
456.30446,14317
456.32995,49949
457.00305,216469
457.01163,26103
457.03259,102976
457.08452,16827
457.10154,253636
457.13388,74613
457.14198,35533
457.14654,39512
457.15506,49131
457.21583,27090
457.24091,95830
457.25215,190252
457.26335,388227
457.27727,73853
457.28842,232986
457.31365,19922
457.32905,82351
458.00616,40443
458.03588,18620
458.09696,278866
458.10508,110256
458.10953,29320
458.11803,25368
458.12869,11579
458.13091,11456
458.13701,13355
458.14164,26224
458.14976,26540
458.15426,48797
458.19966,20596
458.22492,48593
458.23624,674284
458.2556,29500
458.26155,25727
458.26687,64976
458.27274,170706
458.29208,43409
458.30918,611136
458.33257,14549
459.05904,15539
459.09208,101349
459.10022,105357
459.10474,62636
459.11731,378943
459.12593,29834
459.1345,25786
459.14965,53916
459.1708,23884
459.20321,16476
459.23951,134313
459.2679,172526
459.27915,510508
459.3043,90360
459.31247,108904
459.31562,410396
459.36996,14434
460.09528,27455
460.09981,31168
460.1123,403539
460.12041,148783
460.1249,83224
460.12937,61646
460.13342,55010
460.18664,14971
460.21559,26851
460.22692,22627
460.25201,277166
460.26317,1046664
460.28242,83942
460.2882,126010
460.31879,73360
461.01275,151526
461.10791,167894
461.11602,164039
461.12053,154518
461.1289,73623
461.1331,244195
461.1503,21761
461.16529,22200
461.2471,168399
461.25529,54469
461.26658,184965
461.28367,464020
461.38553,12244
462.01636,29246
462.11084,51477
462.11546,85192
462.12359,60762
462.12794,254536
462.13618,94986
462.14063,66683
462.1452,94748
462.14921,37401
462.16634,273882
462.23135,210216
462.24635,25638
462.25047,24719
462.26745,527940
462.28666,87553
463.09972,27486
463.11896,25552
463.12358,130329
463.1316,107844
463.13618,115428
463.1446,73143
463.14875,102979
463.1698,74873
463.20503,25677
463.22618,12712
463.23011,14558
463.23439,46362
463.27092,106607
463.30391,22630
463.33999,23022
464.08198,86982
464.1075,22696
464.12027,63872
464.12639,35399
464.1311,60159
464.13939,57242
464.14372,103178
464.152,37675
464.15652,29926
464.16093,40357
464.16486,11677
464.18195,138149
464.2255,19810
464.22929,29677
464.26209,48000
464.28736,11863
464.30251,9743
464.42196,5581
464.94813,9822
465.07889,27272
465.08533,21036
465.10271,9255
465.11539,97969
465.12386,43958
465.12825,36672
465.13443,14835
465.1391,61465
465.14703,39455
465.15168,32271
465.1602,50420
465.16418,16843
465.18534,31781
465.22072,15804
465.24588,17460
465.25711,36450
465.28225,9816
465.29377,56608
465.32307,51415
465.77284,108758
465.77579,11588
465.99294,22122
466.01411,27401
466.07831,21211
466.09951,31589
466.1105,35129
466.11869,32938
466.12307,84685
466.13207,14401
466.1358,56670
466.15515,34715
466.15921,19908
466.18163,121518
466.20842,95313
466.24146,299309
466.25259,22039
466.2779,122007
466.3182,328779
467.07335,10020
467.09439,22278
467.1182,57722
467.12435,31571
467.13088,84772
467.13939,55188
467.14363,41978
467.15466,15169
467.16245,5950
467.17606,25417
467.1853,18648
467.21197,7571
467.22545,140247
467.23644,30325
467.24465,62203
467.26152,21111
467.2727,28550
467.28101,12973
467.30922,24204
467.32153,92977
468.09382,106144
468.12611,34972
468.13458,39372
468.13893,97546
468.14733,17324
468.15174,12027
468.17119,22923
468.2202,25230
468.23148,30199
468.25664,68972
468.26809,60567
468.27949,184525
468.29347,57071
468.3342,432807
468.44166,16407
468.61638,24721
469.08925,108426
469.09738,46289
469.12315,12737
469.13406,71707
469.14209,28825
469.14666,36905
469.15515,53124
469.18365,9641
469.19214,6946
469.20441,11304
469.2156,7522
469.22902,21527
469.24095,48826
469.25226,123461
469.25631,23130
469.2776,38152
469.28307,25133
469.28877,44833
469.32525,26159
469.33734,113496
470.08437,28587
470.09248,32932
470.09691,12395
470.10946,248337
470.11798,30370
470.13708,11125
470.14158,20546
470.15023,24136
470.15439,42570
470.21316,23971
470.23629,172614
470.24758,240370
470.25556,20727
470.27267,87039
470.28382,37280
470.29507,47271
470.30905,86366
470.70263,3936
471.10464,265922
471.11281,109713
471.11711,58367
471.13465,18064
471.14977,46451
471.17102,38604
471.2313,27517
471.23945,30707
471.25076,35847
471.25653,53567
471.26773,153008
471.29302,27973
471.30422,97136
471.3223,48776
471.34101,14122
471.74976,2669
471.78588,13520
472.09997,101359
472.10817,104012
472.11265,113035
472.12528,238417
472.13388,44220
472.16634,17816
472.21541,32579
472.2517,111160
472.2629,59266
472.27105,31858
472.2883,198563
472.32499,533761
473.00657,36549
473.10792,69723
473.11609,36810
473.12055,272362
473.12874,117800
473.13311,99032
473.1504,28588
473.16546,19966
473.18668,8893
473.23579,32468
473.24698,60163
473.25518,14067
473.28363,304147
473.29488,100491
473.32017,255154
473.32829,115830
473.39674,29179
474.11569,107847
474.12384,102886
474.12823,158807
474.13642,45298
474.14077,97656
474.14931,34151
474.18346,16434
474.23113,54441
474.24991,60328
474.26771,302378
474.28298,29559
474.28707,95497
474.30419,127929
474.32351,47581
475.11258,32023
475.11883,30148
475.12346,99545
475.13151,61271
475.13595,123367
475.14424,67750
475.14843,54911
475.16572,8945
475.19396,11689
475.19811,18728
475.24195,35364
475.25207,227087
475.26308,2273524
475.27426,183398
475.29945,2873284
475.33984,11781
475.41248,135700
476.10771,60196
476.11786,15208
476.12468,65779
476.13127,58717
476.13947,59111
476.14376,94662
476.15201,24486
476.1563,16180
476.16484,10467
476.22916,34725
476.24708,191452
476.26645,427855
476.28353,149096
476.30281,539419
476.97786,30294
476.9868,168056
477.09167,29502
477.10286,19204
477.11104,11630
477.11556,18238
477.12814,93471
477.13401,12393
477.13911,64332
477.14717,34980
477.15163,32696
477.16014,40514
477.21325,434028
477.24215,84761
477.25032,56567
477.25738,61502
477.2697,26238
477.27863,53060
477.28681,44065
477.30607,40433
477.99019,31554
478.08675,19870
478.12311,109578
478.13154,26708
478.14021,211277
478.15522,29569
478.1593,22526
478.21682,100081
478.22629,54673
478.2414,39602
478.24528,28088
478.25631,24109
478.27786,22123
478.28911,99351
478.31831,23538
478.97075,13642
478.98487,20564
479.08625,46244
479.11843,54174
479.12429,31250
479.12653,31491
479.131,50598
479.13978,30376
479.14355,114754
479.14809,12052
479.15429,12562
479.17566,21761
479.2253,7447
479.2297,15176
479.23661,14538
479.26191,29883
479.27318,32152
479.27802,14439
479.29264,10429
479.2985,6157
479.30263,5245
479.30946,3477
480.08147,39556
480.08965,12274
480.12619,34227
480.13488,24063
480.13888,91056
480.15608,506536
480.17103,15776
480.19728,6167
480.22,16738
480.23164,21687
480.25701,139800
480.26821,14433
480.29252,19548
480.92226,4978
481.04111,6240
481.0847,5077
481.10177,155377
481.13413,57799
481.1422,26575
481.14675,35386
481.1556,33420
481.15942,167242
481.21582,122917
481.24091,22473
481.25209,29549
481.26045,24846
481.27735,14032
481.28859,32788
481.31817,9477
481.32502,5604
481.98824,45116
482.09701,171026
482.10519,69223
482.1419,24836
482.15048,24150
482.15458,45671
482.16298,25749
482.17177,105117
482.21906,17038
482.23614,55650
482.24709,32059
482.27264,49670
482.284,118485
482.30924,32496
482.32042,9575
483.0921,62842
483.10023,64845
483.10469,24500
483.11723,248000
483.11997,34089
483.13467,13214
483.14979,43736
483.17118,24685
483.17528,26201
483.2204,28707
483.23155,46866
483.25654,39474
483.26773,125770
483.28713,8461
483.29288,43135
483.30412,49783
484.11251,298728
484.12059,108117
484.12501,49110
484.13362,25289
484.16608,15107
484.21559,18649
484.22906,26058
484.24088,24344
484.25206,83873
484.26319,19371
484.2713,18728
484.28837,41780
484.29954,55675
484.32469,80325
484.33594,44246
484.99027,63900
485.10789,128660
485.11596,120871
485.12038,105857
485.12892,36707
485.13275,173999
485.15004,19796
485.16512,19577
485.23604,16617
485.24735,120157
485.25132,22365
485.25864,55064
485.28381,357363
485.29498,136452
485.30889,33011
485.32001,36505
485.35926,14463
486.11119,40966
486.11583,68382
486.12438,42468
486.12848,251818
486.13659,88146
486.14104,59241
486.14958,28212
486.23106,63886
486.24224,25449
486.26759,131891
486.27882,83929
486.28704,73278
486.30424,132820
486.34074,114802
486.99014,61835
487.12356,115172
487.13171,95010
487.13613,98917
487.1446,52714
487.14873,77589
487.16608,16400
487.2153,14471
487.22639,20677
487.26288,826768
487.29935,435042
487.31057,75675
487.3218,413316
487.33584,414328
487.97536,8696
488.08369,15581
488.12023,26726
488.12643,29166
488.1311,58741
488.13946,45858
488.14377,107986
488.15208,33204
488.15667,48461
488.24714,139149
488.25828,220439
488.26637,166077
488.28338,275241
488.29445,290910
488.30257,91009
488.31958,158348
488.32494,69674
488.33052,37887
488.33887,86576
489.07905,12077
489.11545,211465
489.12425,19420
489.13916,63504
489.14728,41601
489.15168,37075
489.16023,46759
489.24204,97187
489.27872,331707
489.29,395943
489.29809,56763
489.31524,104884
489.32354,32591
490.09937,24754
490.11055,20665
490.11889,41632
490.1233,48598
490.13622,58925
490.1421,12065
490.1469,23559
490.15554,32298
490.15962,31769
490.17273,43326
490.22637,18426
490.23763,20712
490.24142,24661
490.24538,16012
490.26262,92656
490.28186,70430
490.29311,68608
490.2989,39685
490.31837,12270
491.09478,23559
491.11836,32301
491.13094,72481
491.13943,34711
491.14357,26457
491.15438,15545
491.16212,7044
491.17572,28363
491.22149,24221
491.2406,5544
491.25807,58465
491.26642,14184
491.27319,17333
491.28338,4886
491.28927,5982
491.29446,38592
492.09394,66190
492.12628,31751
492.13473,31751
492.13895,73314
492.14773,9196
492.15183,13347
492.17131,18735
492.18835,5461
492.22433,26312
492.2419,18406
492.25702,33389
492.26071,38102
492.29352,183451
492.33408,5725
492.95192,17798
492.96092,48178
492.98946,64600
493.08916,65809
493.09727,20944
493.10126,10031
493.13392,53454
493.14221,20555
493.14657,35818
493.15518,27671
493.1592,10191
493.17234,18911
493.19175,6447
493.20835,216048
493.25233,28508
493.27744,8398
493.28858,33599
493.29696,33600
493.30443,16742
493.96447,8852
493.99271,8628
494.08437,11639
494.09256,15332
494.10966,174469
494.12908,6478
494.1353,27907
494.14191,20830
494.15053,30076
494.15442,40085
494.17588,5381
494.2115,35670
494.23622,32907
494.27263,41671
494.28396,328551
494.30729,11092
494.95913,9010
495.10476,193136
495.11295,77450
495.11697,30609
495.13872,14684
495.14971,38334
495.17108,18969
495.22481,163288
495.23164,21051
495.25685,18163
495.26801,43629
495.28736,68954
495.30419,24620
496.10023,81321
496.10844,82329
496.11277,71649
496.12543,199227
496.13402,26648
496.1511,62525
496.16633,29264
496.22784,32976
496.25183,80205
496.26298,45036
496.28821,40106
496.29973,253912
496.32503,30251
496.34093,14283
497.10784,38951
497.12042,223433
497.1286,89345
497.13268,61820
497.15025,18932
497.15424,16297
497.23412,87584
497.24575,64843
497.25873,146712
497.27251,35462
497.28352,90434
497.29487,19336
497.30326,52031
497.32016,54030
498.11579,99368
498.12404,95710
498.12842,126634
498.13665,31402
498.14109,103059
498.14969,20665
498.16677,61002
498.18212,19998
498.21974,12830
498.2425,360264
498.26742,55563
498.27862,48925
498.30393,53447
498.31517,89534
498.34057,441732
498.46783,6063
499.11914,27761
499.12367,82138
499.13192,47075
499.13625,132151
499.14455,61489
499.14868,48600
499.16599,19462
499.19594,11693
499.24578,69453
499.26287,78918
499.27409,20397
499.29951,396848
499.31072,122207
499.33588,85803
499.34415,109601
500.10739,18550
500.12235,59820
500.1264,15312
500.13116,58913
500.13946,55312
500.1437,84626
500.15216,19563
500.15643,21058
500.16509,6415
500.24712,73134
500.2584,184891
500.28344,91502
500.29447,73100
500.30273,88402
500.31978,36018
500.33079,17067
500.33921,8737
500.35627,26074
501.09152,13156
501.12786,26389
501.13027,22160
501.13919,58050
501.14743,30185
501.15188,42384
501.16045,34955
501.23116,57602
501.24219,46497
501.26158,26967
501.27853,155055
501.31496,102089
501.32626,270196
501.35156,19421
502.08707,12426
502.12339,74003
502.13832,68444
502.14682,16801
502.15535,23055
502.1595,27198
502.22613,11500
502.26277,79622
502.27404,282091
502.28206,23409
502.29925,93483
502.31043,158659
502.32985,51587
502.33564,45019
502.34675,107227
503.08626,17426
503.11847,31855
503.12667,17979
503.13103,27105
503.14364,34887
503.1545,14896
503.25815,320593
503.26917,36342
503.29452,980281
503.30556,134930
503.31952,73431
503.33072,259177
503.34998,9877
503.94959,4947
503.97053,49454
504.08131,12643
504.11953,34609
504.12634,17562
504.13899,71798
504.14751,9807
504.24197,129723
504.26128,64858
504.27831,316020
504.28967,965512
504.2975,187660
504.33415,68019
504.95733,14072
505.10179,99469
505.12322,6285
505.13424,41773
505.14249,20133
505.14689,28130
505.23708,31781
505.27341,241364
505.28457,152068
505.293,167768
505.29832,16672
506.09719,106022
506.10531,40676
506.13532,183258
506.14179,15807
506.15038,14689
506.15447,35895
506.24012,43237
506.27676,95817
506.28831,19155
506.29681,10923
506.30951,8330
507.09248,36903
507.10056,39041
507.11746,177517
507.13873,57697
507.1496,28626
507.17093,10140
507.18787,49181
507.2248,7918
507.24324,3197
507.25306,13576
507.2684,125607
507.30468,26906
507.33037,40873
508.00388,105183
508.11266,211459
508.12075,78384
508.12511,24059
508.15097,56783
508.16628,14591
508.19158,10799
508.20364,3924
508.21963,7945
508.2523,57488
508.26333,19011
508.27169,16315
508.28858,70603
508.29975,84360
508.3334,7190
509.00732,6529
509.1079,93011
509.11601,86941
509.12043,61498
509.13294,136943
509.15446,11366
509.16546,11056
509.24712,20592
509.25857,15810
509.27257,17891
509.28354,26363
509.30334,9167
509.30861,7924
509.31849,9090
509.36052,22818
510.11134,27065
510.1159,40041
510.12852,195349
510.13664,67502
510.14106,38075
510.18213,11414
510.2424,7364
510.26757,31817
510.27874,32550
510.30388,15991
510.31518,31703
510.99106,59468
511.09732,62659
511.12368,96328
511.13186,77781
511.13625,76130
511.14468,29736
511.14891,69489
511.21748,8660
511.25165,11056
511.26279,53635
511.2739,25081
511.2879,13133
511.29914,66467
511.31038,11794
511.33559,7818
511.75763,2467
511.99423,5158
512.12698,27533
512.13164,54644
512.1399,31956
512.14418,103460
512.15245,30064
512.15675,13746
512.16142,10511
512.24687,79455
512.258,51012
512.28325,36183
512.29453,108023
512.31988,18296
512.33101,10820
512.35662,25921
513.11563,24797
513.13492,9720
513.13941,57697
513.14763,36915
513.15199,38648
513.16051,24180
513.1646,15658
513.20814,92245
513.2192,55621
513.24218,16557
513.25543,57207
513.2672,17363
513.27843,76623
513.28963,63334
513.31492,135862
513.32613,32356
513.35161,129823
513.75725,2340
513.9832,4220
514.09969,12995
514.11095,6590
514.12358,18210
514.13637,23345
514.14765,93514
514.15561,18869
514.1593,24348
514.1618,15903
514.17706,8070
514.21121,13260
514.26253,445983
514.27363,68409
514.29907,81144
514.3103,93610
514.33579,81499
514.35521,20038
514.37241,12369
514.98288,121814
515.09479,12581
515.1186,9418
515.13133,53100
515.13996,12483
515.15082,22393
515.15495,14984
515.1763,10360
515.24668,13152
515.2577,64097
515.26596,99910
515.28298,26012
515.29421,117539
515.33085,3961375
515.34193,594207
515.36736,96180
515.98612,10827
516.09669,41442
516.12659,20770
516.13499,17743
516.13924,48078
516.24183,85771
516.25284,29074
516.27824,34532
516.28941,102285
516.30066,66320
516.31481,266570
516.32568,155048
516.33434,825910
516.34542,128721
517.08929,30260
517.09938,6474
517.13426,31265
517.14691,28919
517.15551,11626
517.27364,125569
517.28481,85944
517.30989,150168
517.32105,97213
517.32888,23177
517.33469,58422
517.33785,62329
517.34629,106463
518.10951,98844
518.14207,13724
518.15062,13990
518.1548,34100
518.25784,34360
518.26877,47065
518.27703,15916
518.2939,96326
518.30499,119299
518.31308,27313
518.32445,9839
518.34134,28082
518.34965,26018
519.10514,115940
519.11302,43753
519.14986,25219
519.17121,8395
519.253,100456
519.26816,46425
519.28935,383860
519.30052,154646
519.94429,30569
520.10015,48269
520.10828,42717
520.11233,24952
520.12518,131314
520.15744,3674
520.16611,10736
520.25646,17342
520.26358,138767
520.29296,87669
520.30418,21551
521.12051,163669
521.12864,62423
521.13302,35556
521.24769,4898
521.26664,21310
521.28357,19918
521.32035,95451
522.11605,78583
522.12417,70375
522.12782,66879
522.13087,86090
522.14113,80150
522.14953,7488
522.18197,8704
522.23496,36045
522.26783,56297
522.30447,140555
522.31558,35856
